title,description,link,published
Bad Bunny reprograma sus conciertos en Perú por su participación en el medio tiempo del Super Bowl 2026,El cantante puertorriqueño había programado una segunda fecha en Lima luego de agotar las entradas de su primer concierto en pocas horas. Regresará al país tres años después de su última presentación.,https://rpp.pe/musica/conciertos/bad-bunny-en-lima-2026-anuncian-que-los-conciertos-en-peru-seran-reprogramados-por-su-participacion-en-show-de-medio-tiempo-super-bowl-cuando-sera-noticia-1660524,"Wed, 22 Oct 2025 16:43:20 -0500"
"Partidos de hoy, miércoles 22 de octubre del 2025: horarios y canales TV para ver EN VIVO Champions League y Libertadores","Fútbol EN VIVO | Horarios y canales de TV para ver EN DIRECTO los partidos de hoy, miércoles 22 de octubre del 2025.",https://rpp.pe/futbol/futbol-mundial/partidos-de-hoy-peru-miercoles-22-de-octubre-del-2025-horarios-y-canales-tv-ver-futbol-en-vivo-noticia-1660277,"Wed, 22 Oct 2025 16:40:34 -0500"
Cronograma del octavo retiro de AFP 2025 HOY: cuándo podrás presentar tu solicitud según tu DNI,"El desembolso se efectuará hasta en cuatro armadas mensuales de 1 UIT cada una (S/5 350), después de 30 días de ingresada la solicitud, y cada 30 días hasta completar el total solicitado.",https://rpp.pe/economia/economia/octavo-retiro-de-afp-2025-conoce-el-cronograma-oficial-segun-el-numero-de-dni-noticia-1657530,"Wed, 22 Oct 2025 16:30:03 -0500"
"Estados Unidos anunciará un ""aumento sustancial"" en sus sanciones a Rusia en las próximas horas","""Vamos a anunciar después del cierre (de los mercados) de esta tarde o a primera hora de mañana un aumento sustancial de las sanciones a Rusia"", adelantó el secretario del Tesoro, Scott Bessent, sin ofrecer más detalles sobre la magnitud de las acciones.",https://rpp.pe/mundo/estados-unidos/estados-unidos-anunciara-un-aumento-sustancial-en-sus-sanciones-a-rusia-en-las-proximas-horas-noticia-1660531,"Wed, 22 Oct 2025 16:33:24 -0500"
'Emily in Paris' llega a Italia: Lily Collins conquistará Roma en la temporada 5 de la serie de Netflix,"La protagonista inicia una nueva etapa profesional y amorosa en Italia en una temporada que promete más drama, glamour y giros inesperados.",https://rpp.pe/tv/netflix/emily-in-paris-llega-a-italia-lily-collins-conquistara-roma-en-la-temporada-5-de-la-serie-de-netflix-noticia-1660522,"Wed, 22 Oct 2025 16:31:14 -0500"
Champions League: Athletic Bilbao se impone con remontada 3-1 sobre Qarabag,Athletic Bilbao vs Qarabag se enfrentaron por la UEFA Champions League. Aquí todos los detalles y resumen del encuentro.,https://rpp.pe/futbol/ligas-internacionales/champions-league-athletic-bilbao-se-enfrentara-ante-qarabag-por-la-fecha-3-noticia-1660237,"Wed, 22 Oct 2025 16:15:04 -0500"
Champions League: Sporting Lisboa voltea el marcador y triunfa 2 a 1 ante Olympique de Marsella con gol agónico,Sporting Lisboa vs Olympique de Marsella se enfrentaron por la UEFA Champions League. Aquí todos los detalles y resumen del encuentro.,https://rpp.pe/futbol/ligas-internacionales/champions-league-sporting-lisboa-y-olympique-de-marsella-se-encuentran-en-la-fecha-3-noticia-1660262,"Wed, 22 Oct 2025 16:10:04 -0500"
Champions League: Victor Osimhen ayudó con doblete a Galatasaray en victoria 3-1 frente a FK Bodo/Glimt,Galatasaray vs FK Bodo/Glimt se enfrentaron por la UEFA Champions League. Aquí todos los detalles y resumen del encuentro.,https://rpp.pe/futbol/ligas-internacionales/champions-league-fk-bodo-glimt-se-enfrentara-a-galatasaray-por-la-fecha-3-noticia-1660238,"Wed, 22 Oct 2025 16:10:06 -0500"
Champions League: Goleada de Bayern Múnich 4 a 0 sobre Club Brugge,Bayern Múnich vs Club Brugge se enfrentaron por la UEFA Champions League. Aquí todos los detalles y resumen del encuentro.,https://rpp.pe/futbol/ligas-internacionales/champions-league-bayern-munich-recibira-a-club-brugge-por-la-fecha-3-noticia-1660259,"Wed, 22 Oct 2025 16:10:04 -0500"
Champions League: Atalanta y Slavia Praga no se hicieron daño y empataron sin goles,Atalanta vs Slavia Praga se enfrentaron por la UEFA Champions League. Aquí todos los detalles y resumen del encuentro.,https://rpp.pe/futbol/ligas-internacionales/champions-league-atalanta-se-enfrenta-ante-la-visita-slavia-praga-por-la-fecha-3-noticia-1660258,"Wed, 22 Oct 2025 16:10:05 -0500"
Champions League: Chelsea golea 5-1 a Ajax,Chelsea vs Ajax se enfrentaron por la UEFA Champions League. Aquí todos los detalles y resumen del encuentro.,https://rpp.pe/futbol/ligas-internacionales/champions-league-por-la-fecha-3-se-enfrentaran-chelsea-y-ajax-noticia-1660260,"Wed, 22 Oct 2025 16:05:10 -0500"
Champions League: Real Madrid le ganó 1-0 a Juventus,Real Madrid vs Juventus se enfrentaron por la UEFA Champions League. Aquí todos los detalles y resumen del encuentro.,https://rpp.pe/futbol/ligas-internacionales/champions-league-real-madrid-y-juventus-se-miden-por-la-fecha-3-noticia-1660263,"Wed, 22 Oct 2025 16:05:09 -0500"
"Champions League: Sin goles, Mónaco y Tottenham igualaron el partido",Mónaco vs Tottenham se enfrentaron por la UEFA Champions League. Aquí todos los detalles y resumen del encuentro.,https://rpp.pe/futbol/ligas-internacionales/champions-league-se-enfrentan-monaco-y-tottenham-por-la-fecha-3-noticia-1660265,"Wed, 22 Oct 2025 16:05:08 -0500"
Policía en presunto estado de ebriedad es detenido por agredir a dos colegas que intentaron intervenirlo en Huancayo [VIDEO],El agente es de la Unidad de Servicios Especiales (USE) y atacó a los efectivos que intentaron intervenirlo por estacionar su auto en plena vía pública.,https://rpp.pe/peru/junin/huancayo-detienen-a-policia-tras-agredir-a-sus-colegas-en-presunto-estado-de-ebriedad-noticia-1660515,"Wed, 22 Oct 2025 16:05:27 -0500"
Sigue con paso perfecto: Real Madrid venció 1-0 a Juventus en la fecha 3 de la Champions League (VIDEO),"Jude Bellingham le dio una nueva victoria en la Champions League al Real Madrid, que llega con el ánimo a tope para enfrentar al Barcelona por el Clásico.",https://rpp.pe/futbol/champions-league/real-madrid-vs-juventus-en-vivo-ver-espn-transmision-gratis-desde-tu-celular-fase-liga-champions-league-2025-con-mbappe-link-online-partidos-de-hoy-noticia-1660257,"Wed, 22 Oct 2025 16:02:46 -0500"
Champions League: Liverpool arrasó con una remontada y goleó 5-1 a Eintracht Frankfurt,Eintracht Frankfurt vs Liverpool se enfrentaron por la UEFA Champions League. Aquí todos los detalles y resumen del encuentro.,https://rpp.pe/futbol/ligas-internacionales/champions-league-liverpool-visita-a-eintracht-frankfurt-por-la-fecha-3-noticia-1660261,"Wed, 22 Oct 2025 16:00:09 -0500"
Revisa el LINK oficial del retiro AFP 2025 para registrar tu solicitud de desembolso,La solicitud para el octavo retiro de AFP es gratuita y 100% digital a través de los portales oficiales de cada administradora. Revisa los links oficiales.,https://rpp.pe/economia/economia/retiro-afp-2025-link-oficial-para-registrar-tu-solicitud-y-pasos-para-solicitar-desembolso-4-uit-de-fondos-noticia-1660126,"Wed, 22 Oct 2025 16:00:08 -0500"
Estrenos de Películas hoy 22 de octubre del 2025,"Estas son las películas que se estrenan hoy en Perú en las plataformas online de streaming. Revisa aquí la sinopsis, puntaje y trailer de los títulos de Netflix, Amazon Prime, Disney y Max.",https://rpp.pe/cine/cartelera/estrenos-de-peliculas-hoy-21-de-octubre-del-2025-noticia-1660241,"Tue, 21 Oct 2025 07:02:04 -0500"
Corte de agua en Lima hoy 22 de octubre: Distritos y horarios afectados,EN VIVO Consulta aquí los distritos de Lima y horarios afectados por el corte de agua programado por el Servicio de Agua Potable y Alcantarillado de Lima (Sedapal) para hoy.,https://rpp.pe/lima/obras/corte-de-agua-en-lima-hoy-22-de-octubre-distritos-y-horarios-afectados-noticia-1660389,"Wed, 22 Oct 2025 05:00:38 -0500"
